"submission_date","new_case"
2020-01-22,0
2020-01-23,1
2020-01-24,1
2020-01-25,0
2020-01-26,1
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,1
2020-02-01,1
2020-02-02,3
2020-02-03,3
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,1
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,1
2020-02-13,1
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,2
2020-02-18,5
2020-02-19,3
2020-02-20,1
2020-02-21,5
2020-02-22,6
2020-02-23,0
2020-02-24,4
2020-02-25,4
2020-02-26,8
2020-02-27,5
2020-02-28,4
2020-02-29,9
2020-03-01,18
2020-03-02,36
2020-03-03,64
2020-03-04,67
2020-03-05,78
2020-03-06,121
2020-03-07,160
2020-03-08,209
2020-03-09,420
2020-03-10,493
2020-03-11,514
2020-03-12,748
2020-03-13,911
2020-03-14,1231
2020-03-15,2202
2020-03-16,2349
2020-03-17,3222
2020-03-18,4903
2020-03-19,6174
2020-03-20,7437
2020-03-21,9218
2020-03-22,10868
2020-03-23,10728
2020-03-24,11351
2020-03-25,14160
2020-03-26,18772
2020-03-27,20039
2020-03-28,20635
2020-03-29,26334
2020-03-30,15831
2020-03-31,23297
2020-04-01,28347
2020-04-02,30045
2020-04-03,31838
2020-04-04,32492
2020-04-05,27478
2020-04-06,28584
2020-04-07,30225
2020-04-08,33682
2020-04-09,34988
2020-04-10,31920
2020-04-11,32207
2020-04-12,27798
2020-04-13,24932
2020-04-14,25186
2020-04-15,25379
2020-04-16,31820
2020-04-17,29778
2020-04-18,27600
2020-04-19,27884
2020-04-20,25811
2020-04-21,25455
2020-04-22,31434
2020-04-23,32997
2020-04-24,34130
2020-04-25,33375
2020-04-26,27234
2020-04-27,24218
2020-04-28,23487
2020-04-29,27205
2020-04-30,32425
2020-05-01,30225
2020-05-02,28396
2020-05-03,27842
2020-05-04,21179
2020-05-05,23207
2020-05-06,24303
2020-05-07,30615
2020-05-08,28046
2020-05-09,25967
2020-05-10,21651
2020-05-11,19299
2020-05-12,24260
2020-05-13,17740
2020-05-14,34532
2020-05-15,27118
2020-05-16,25303
2020-05-17,19225
2020-05-18,24690
2020-05-19,20691
2020-05-20,24490
2020-05-21,25523
2020-05-22,26029
2020-05-23,20979
2020-05-24,21765
2020-05-25,19149
2020-05-26,16954
2020-05-27,20367
2020-05-28,24198
2020-05-29,23554
2020-05-30,23710
2020-05-31,21206
2020-06-01,17358
2020-06-02,20731
2020-06-03,21109
2020-06-04,20712
2020-06-05,24424
2020-06-06,23574
2020-06-07,17780
2020-06-08,18038
2020-06-09,18594
2020-06-10,22484
2020-06-11,22688
2020-06-12,28748
2020-06-13,26007
2020-06-14,20620
2020-06-15,20588
2020-06-16,24926
2020-06-17,25603
2020-06-18,28758
2020-06-19,33308
2020-06-20,33339
2020-06-21,27327
2020-06-22,28698
2020-06-23,37921
2020-06-24,37431
2020-06-25,47010
2020-06-26,46553
2020-06-27,43618
2020-06-28,37797
2020-06-29,38602
2020-06-30,46588
2020-07-01,59741
2020-07-02,55608
2020-07-03,60292
2020-07-04,49595
2020-07-05,40419
2020-07-06,51214
2020-07-07,56061
2020-07-08,65379
2020-07-09,62315
2020-07-10,68569
2020-07-11,68133
2020-07-12,59644
2020-07-13,56542
2020-07-14,65003
2020-07-15,72309
2020-07-16,70182
2020-07-17,77085
2020-07-18,67797
2020-07-19,59921
2020-07-20,59017
2020-07-21,63329
2020-07-22,72662
2020-07-23,74060
2020-07-24,73913
2020-07-25,61083
2020-07-26,59006
2020-07-27,53265
2020-07-28,59193
2020-07-29,65130
2020-07-30,67146
2020-07-31,68823
2020-08-01,56417
2020-08-02,51460
2020-08-03,45304
2020-08-04,51918
2020-08-05,56251
2020-08-06,55160
2020-08-07,62142
2020-08-08,52083
2020-08-09,46359
2020-08-10,44149
2020-08-11,59189
2020-08-12,55545
2020-08-13,52153
2020-08-14,56242
2020-08-15,51555
2020-08-16,41920
2020-08-17,41818
2020-08-18,41715
2020-08-19,47290
2020-08-20,47057
2020-08-21,47713
2020-08-22,41842
2020-08-23,37081
2020-08-24,36026
2020-08-25,40926
2020-08-26,47495
2020-08-27,47226
2020-08-28,46938
2020-08-29,41020
2020-08-30,36631
2020-08-31,39567
2020-09-01,38841
2020-09-02,42790
2020-09-03,45576
2020-09-04,51293
2020-09-05,41303
2020-09-06,33988
2020-09-07,24589
2020-09-08,28618
2020-09-09,35564
2020-09-10,39099
2020-09-11,44600
2020-09-12,40036
2020-09-13,32898
2020-09-14,34758
2020-09-15,37229
2020-09-16,44921
2020-09-17,45396
2020-09-18,48182
2020-09-19,42380
2020-09-20,34275
2020-09-21,41636
2020-09-22,50109
2020-09-23,42949
2020-09-24,46409
2020-09-25,50220
2020-09-26,42758
2020-09-27,35369
2020-09-28,39174
2020-09-29,38935
2020-09-30,46575
2020-10-01,47483
2020-10-02,51167
2020-10-03,47741
2020-10-04,35652
2020-10-05,41616
2020-10-06,41974
2020-10-07,54803
2020-10-08,55664
2020-10-09,59092
2020-10-10,53913
2020-10-11,44944
2020-10-12,49773
2020-10-13,50814
2020-10-14,58212
2020-10-15,63390
2020-10-16,69569
2020-10-17,54324
2020-10-18,48992
2020-10-19,62185
2020-10-20,58977
2020-10-21,70563
2020-10-22,75035
2020-10-23,83174
2020-10-24,76390
2020-10-25,65932
2020-10-26,70171
2020-10-27,75829
2020-10-28,85429
2020-10-29,91704
2020-10-30,98053
2020-10-31,93272
2020-11-01,74324
2020-11-02,87234
2020-11-03,99113
2020-11-04,115979
2020-11-05,123780
2020-11-06,134553
2020-11-07,129238
2020-11-08,112061
2020-11-09,125082
2020-11-10,148096
2020-11-11,154107
2020-11-12,163912
2020-11-13,178530
2020-11-14,163785
2020-11-15,140053
2020-11-16,152483
2020-11-17,167992
2020-11-18,172828
2020-11-19,190293
2020-11-20,195145
2020-11-21,173469
2020-11-22,150923
2020-11-23,160726
2020-11-24,175931
2020-11-25,195535
2020-11-26,145038
2020-11-27,164390
2020-11-28,144714
2020-11-29,141317
2020-11-30,153876
2020-12-01,192552
2020-12-02,211409
2020-12-03,218921
2020-12-04,225472
2020-12-05,205789
2020-12-06,177328
2020-12-07,186547
2020-12-08,226572
2020-12-09,222547
2020-12-10,208878
2020-12-11,248762
2020-12-12,216117
2020-12-13,180743
2020-12-14,197607
2020-12-15,200902
2020-12-16,241941
2020-12-17,248037
2020-12-18,237467
2020-12-19,201794
2020-12-20,188042
2020-12-21,183992
2020-12-22,199677
2020-12-23,228477
2020-12-24,202357
2020-12-25,159279
2020-12-26,149192
2020-12-27,154979
2020-12-28,178993
2020-12-29,210249
2020-12-30,238878
2020-12-31,231074
2021-01-01,229376
2021-01-02,224285
2021-01-03,205420
2021-01-04,174856
2021-01-05,245060
2021-01-06,259769
2021-01-07,271074
2021-01-08,294017
2021-01-09,255182
2021-01-10,223522
2021-01-11,204478
2021-01-12,218688
2021-01-13,229437
2021-01-14,224285
2021-01-15,239974
2021-01-16,212821
2021-01-17,182570
2021-01-18,151198
2021-01-19,150929
2021-01-20,189263
2021-01-21,189663
2021-01-22,190493
2021-01-23,164588
2021-01-24,143552
2021-01-25,133859
2021-01-26,147906
2021-01-27,160024
2021-01-28,156844
2021-01-29,164177
2021-01-30,137374
2021-01-31,111472
2021-02-01,128460
2021-02-02,122565
2021-02-03,110273
2021-02-04,125153
2021-02-05,125534
2021-02-06,108096
2021-02-07,91483
2021-02-08,82257
2021-02-09,91970
2021-02-10,99469
2021-02-11,99233
2021-02-12,97921
2021-02-13,84446
2021-02-14,66667
2021-02-15,57698
2021-02-16,57845
2021-02-17,64577
2021-02-18,68757
2021-02-19,73202
2021-02-20,66027
2021-02-21,55773
2021-02-22,56241
2021-02-23,71022
2021-02-24,72983
2021-02-25,72012
2021-02-26,73628
2021-02-27,67912
2021-02-28,51630
2021-03-01,50969
2021-03-02,55230
2021-03-03,65775
2021-03-04,65764
2021-03-05,64235
2021-03-06,57316
2021-03-07,43523
2021-03-08,42988
2021-03-09,53499
2021-03-10,62227
2021-03-11,60539
2021-03-12,62869
2021-03-13,53397
2021-03-14,47254
2021-03-15,43461
2021-03-16,52080
2021-03-17,62400
2021-03-18,62867
2021-03-19,62285
2021-03-20,58370
2021-03-21,44958
2021-03-22,48559
2021-03-23,58490
2021-03-24,67153
2021-03-25,66385
2021-03-26,76683
2021-03-27,63354
2021-03-28,52893
2021-03-29,57814
2021-03-30,62358
2021-03-31,71463
2021-04-01,74447
2021-04-02,69530
2021-04-03,65489
2021-04-04,44296
2021-04-05,56914
2021-04-06,63267
2021-04-07,77911
2021-04-08,75695
2021-04-09,78869
2021-04-10,68055
2021-04-11,53492
2021-04-12,62637
2021-04-13,72167
2021-04-14,72358
2021-04-15,74987
2021-04-16,70889
2021-04-17,78012
2021-04-18,49212
2021-04-19,35961
2021-04-20,58896
2021-04-21,64178
2021-04-22,61692
2021-04-23,64615
2021-04-24,51924
2021-04-25,40717
2021-04-26,39872
2021-04-27,50935
2021-04-28,55293
2021-04-29,56720
2021-04-30,55307
2021-05-01,47985
2021-05-02,36692
2021-05-03,33231
2021-05-04,43136
2021-05-05,45279
2021-05-06,43407
2021-05-07,44609
2021-05-08,36853
2021-05-09,27198
2021-05-10,24739
2021-05-11,33596
2021-05-12,35905
2021-05-13,41009
2021-05-14,35434
2021-05-15,29749
2021-05-16,20961
2021-05-17,19500
2021-05-18,28050
2021-05-19,27886
2021-05-20,27958
2021-05-21,28258
2021-05-22,22217
2021-05-23,15720
2021-05-24,16108
2021-05-25,23795
2021-05-26,23721
2021-05-27,22556
2021-05-28,24387
2021-05-29,16157
2021-05-30,12001
2021-05-31,8985
2021-06-01,8919
2021-06-02,16243
2021-06-03,18658
2021-06-04,18601
2021-06-05,14789
2021-06-06,10980
2021-06-07,9961
2021-06-08,14581
2021-06-09,19099
2021-06-10,16062
2021-06-11,14014
2021-06-12,12469
2021-06-13,8590
2021-06-14,8282
2021-06-15,12843
2021-06-16,13213
2021-06-17,13277
2021-06-18,12027
2021-06-19,12400
2021-06-20,8932
2021-06-21,8653
2021-06-22,13477
2021-06-23,13862
2021-06-24,15536
2021-06-25,15092
2021-06-26,13180
2021-06-27,10501
2021-06-28,10669
2021-06-29,15740
2021-06-30,11610
2021-07-01,18704
2021-07-02,16837
2021-07-03,13041
2021-07-04,10373
2021-07-05,9217
2021-07-06,20198
2021-07-07,22808
2021-07-08,28130
2021-07-09,27622
2021-07-10,20529
2021-07-11,16773
2021-07-12,29346
2021-07-13,34886
2021-07-14,38469
2021-07-15,40558
2021-07-16,42356
2021-07-17,31507
2021-07-18,28389
2021-07-19,45484
2021-07-20,51001
2021-07-21,61604
2021-07-22,72843
2021-07-23,68481
2021-07-24,53315
2021-07-25,43276
2021-07-26,71556
2021-07-27,86079
2021-07-28,89515
2021-07-29,99306
2021-07-30,105002
2021-07-31,81505
2021-08-01,63024
2021-08-02,103632
2021-08-03,110589
2021-08-04,124086
2021-08-05,129141
2021-08-06,125958
2021-08-07,119982
2021-08-08,97140
2021-08-09,93966
2021-08-10,136593
2021-08-11,144609
2021-08-12,151611
2021-08-13,146598
2021-08-14,139155
2021-08-15,110657
2021-08-16,110340
2021-08-17,150835
2021-08-18,168267
2021-08-19,175048
2021-08-20,166983
2021-08-21,142907
2021-08-22,127065
2021-08-23,117477
2021-08-24,163794
2021-08-25,177895
2021-08-26,187154
2021-08-27,182858
2021-08-28,151245
2021-08-29,118278
2021-08-30,134662
2021-08-31,176982
2021-09-01,198869
2021-09-02,182275
2021-09-03,182907
2021-09-04,142194
2021-09-05,124666
2021-09-06,110306
2021-09-07,118422
2021-09-08,169998
2021-09-09,186769
2021-09-10,169369
2021-09-11,153159
2021-09-12,116283
2021-09-13,113769
2021-09-14,162147
2021-09-15,163080
2021-09-16,167305
2021-09-17,157554
2021-09-18,123058
2021-09-19,97060
2021-09-20,93698
2021-09-21,135005
2021-09-22,132373
2021-09-23,135546
2021-09-24,133057
2021-09-25,95609
2021-09-26,77067
2021-09-27,103404
2021-09-28,117034
2021-09-29,116354
2021-09-30,122501
2021-10-01,120088
2021-10-02,81324
2021-10-03,68388
2021-10-04,87545
2021-10-05,104853
2021-10-06,107762
2021-10-07,111993
2021-10-08,107752
2021-10-09,70015
2021-10-10,59479
2021-10-11,75191
2021-10-12,91081
2021-10-13,96985
2021-10-14,96612
2021-10-15,90942
2021-10-16,62160
2021-10-17,49272
2021-10-18,70586
2021-10-19,81012
2021-10-20,76385
2021-10-21,87280
2021-10-22,80598
2021-10-23,29621
2021-10-24,23600
2021-10-25,94602
2021-10-26,102420
2021-10-27,83889
2021-10-28,81959
2021-10-29,87053
2021-10-30,28712
2021-10-31,20545
2021-11-01,120256
2021-11-02,73070
2021-11-03,79925
2021-11-04,88063
2021-11-05,89530
2021-11-06,28481
2021-11-07,25964
2021-11-08,128208
2021-11-09,83032
2021-11-10,90422
2021-11-11,71593
2021-11-12,123127
2021-11-13,47447
2021-11-14,28611
2021-11-15,143773
2021-11-16,96733
2021-11-17,106162
2021-11-18,113396
2021-11-19,113556
2021-11-20,38867
2021-11-21,33992
2021-11-22,154104
2021-11-23,101707
2021-11-24,105321
2021-11-25,68359
2021-11-26,82975
2021-11-27,48547
2021-11-28,52217
2021-11-29,102771
2021-11-30,120244
2021-12-01,129738
2021-12-02,138489
